iter	Passed	Remaining
0	87	434968
1	144	361437
2	196	326583
3	219	274324
4	249	249227
5	275	228935
6	300	214381
7	351	219564
8	382	211941
9	413	206439
10	452	205044
11	492	204849
12	544	208964
13	579	206375
14	615	204696
15	642	199989
16	665	195155
17	693	191931
18	718	188418
19	741	184719
20	763	181119
21	783	177388
22	807	174682
23	831	172462
24	860	171332
25	889	170174
26	924	170194
27	959	170363
28	996	170745
29	1029	170502
30	1054	169093
31	1076	167153
32	1099	165525
33	1127	164639
34	1193	169249
35	1220	168260
36	1249	167621
37	1286	168046
38	1313	167049
39	1345	166792
40	1374	166188
41	1401	165497
42	1425	164328
43	1450	163331
44	1473	162195
45	1515	163193
46	1538	162095
47	1566	161568
48	1593	161010
49	1616	160039
50	1637	158937
51	1662	158166
52	1684	157204
53	1706	156268
54	1736	156103
55	1761	155476
56	1781	154501
57	1808	154099
58	1829	153239
59	1856	152832
60	1874	151794
61	1893	150811
62	1912	149861
63	1940	149686
64	1964	149186
65	1984	148380
66	2005	147638
67	2025	146903
68	2045	146177
69	2069	145753
70	2093	145357
71	2123	145363
72	2159	145768
73	2182	145256
74	2202	144650
75	2222	143976
76	2274	145389
77	2304	145414
78	2335	145472
79	2365	145449
80	2392	145268
81	2417	144970
82	2440	144553
83	2467	144397
84	2491	144071
85	2518	143882
86	2550	144019
87	2600	145177
88	2623	144778
89	2648	144499
90	2678	144478
91	2703	144207
92	2729	143991
93	2747	143414
94	2768	142946
95	2791	142578
96	2813	142235
97	2835	141856
98	2857	141442
99	2878	141062
100	2903	140854
101	2941	141245
102	2964	140954
103	2984	140519
104	3008	140265
105	3029	139849
106	3049	139467
107	3075	139303
108	3101	139165
109	3127	139037
110	3149	138736
111	3176	138652
112	3200	138428
113	3227	138310
114	3248	137993
115	3275	137927
116	3332	139077
117	3369	139403
118	3393	139201
119	3417	138987
120	3440	138716
121	3460	138366
122	3482	138088
123	3506	137879
124	3526	137518
125	3554	137501
126	3577	137260
127	3607	137301
128	3652	137911
129	3674	137640
130	3702	137623
131	3729	137548
132	3769	137942
133	3817	138632
134	3842	138459
135	3882	138865
136	3926	139365
137	3949	139156
138	3977	139080
139	4002	138939
140	4027	138778
141	4050	138565
142	4080	138593
143	4120	138937
144	4159	139275
145	4228	140575
146	4269	140949
147	4300	141000
148	4335	141155
149	4376	141515
150	4426	142139
151	4477	142793
152	4515	143047
153	4562	143568
154	4659	145646
155	4708	146205
156	4776	147344
157	4829	148003
158	4910	149513
159	4969	150313
160	5020	150886
161	5064	151248
162	5104	151489
163	5137	151493
164	5167	151425
165	5190	151146
166	5218	151012
167	5241	150751
168	5267	150562
169	5288	150264
170	5313	150062
171	5337	149821
172	5368	149779
173	5390	149511
174	5421	149468
175	5459	149626
176	5486	149511
177	5514	149399
178	5543	149292
179	5567	149082
180	5595	148983
181	5618	148735
182	5645	148613
183	5668	148356
184	5690	148108
185	5714	147903
186	5745	147868
187	5778	147899
188	5809	147877
189	5887	149047
190	5924	149163
191	5954	149106
192	5976	148850
193	6005	148779
194	6027	148524
195	6054	148405
196	6077	148164
197	6104	148042
198	6123	147723
199	6147	147536
200	6182	147599
201	6219	147717
202	6241	147478
203	6267	147341
204	6303	147445
205	6324	147193
206	6349	147015
207	6374	146862
208	6406	146858
209	6442	146939
210	6465	146748
211	6497	146737
212	6532	146810
213	6560	146727
214	6591	146704
215	6617	146559
216	6644	146464
217	6672	146363
218	6697	146217
219	6740	146461
220	6766	146322
221	6793	146203
222	6815	146006
223	6843	145919
224	6903	146500
225	6938	146565
226	6966	146486
227	6995	146409
228	7058	147066
229	7089	147023
230	7122	147050
231	7154	147037
232	7181	146924
233	7203	146719
234	7234	146697
235	7257	146508
236	7281	146330
237	7303	146129
238	7327	145959
239	7364	146060
240	7399	146111
241	7431	146113
242	7466	146172
243	7492	146042
244	7510	145759
245	7543	145788
246	7683	147855
247	7740	148315
248	7764	148155
249	7784	147899
250	7802	147624
251	7825	147445
252	7853	147348
253	7880	147239
254	7903	147073
255	7930	146960
256	7958	146885
257	7991	146876
258	8013	146679
259	8035	146496
260	8062	146392
261	8095	146391
262	8122	146296
263	8145	146117
264	8165	145908
265	8221	146314
266	8244	146151
267	8269	146015
268	8292	145844
269	8321	145772
270	8351	145732
271	8388	145804
272	8424	145874
273	8455	145844
274	8493	145936
275	8540	146170
276	8582	146339
277	8620	146424
278	8644	146272
279	8666	146088
280	8688	145916
281	8715	145815
282	8736	145611
283	8756	145407
284	8782	145296
285	8815	145294
286	8867	145620
287	8895	145535
288	8949	145889
289	8981	145871
290	9013	145862
291	9043	145803
292	9076	145817
293	9104	145741
294	9131	145646
295	9156	145516
296	9179	145363
297	9207	145286
298	9231	145144
299	9261	145099
300	9293	145076
301	9320	144993
302	9354	145011
303	9387	145009
304	9452	145505
305	9483	145477
306	9509	145369
307	9540	145339
308	9574	145346
309	9609	145379
310	9636	145297
311	9669	145288
312	9705	145334
313	9739	145350
314	9787	145562
315	9823	145618
316	9855	145594
317	9886	145566
318	9913	145471
319	9944	145432
320	9972	145359
321	10003	145334
322	10039	145377
323	10073	145379
324	10100	145291
325	10125	145179
326	10150	145059
327	10178	144986
328	10214	145016
329	10237	144878
330	10266	144813
331	10290	144683
332	10314	144558
333	10338	144433
334	10365	144345
335	10396	144309
336	10426	144273
337	10456	144232
338	10489	144226
339	10513	144095
340	10542	144044
341	10576	144053
342	10641	144475
343	10672	144445
344	10704	144434
345	10744	144521
346	10774	144472
347	10823	144687
348	10867	144828
349	10899	144809
350	10926	144727
351	10968	144829
352	11010	144945
353	11066	145240
354	11097	145200
355	11128	145171
356	11155	145083
357	11196	145179
358	11236	145265
359	11269	145248
360	11298	145192
361	11325	145108
362	11351	145004
363	11381	144952
364	11410	144892
365	11445	144908
366	11491	145068
367	11516	144955
368	11535	144773
369	11560	144660
370	11580	144490
371	11606	144390
372	11627	144236
373	11649	144086
374	11678	144038
375	11711	144031
376	11738	143942
377	11763	143832
378	11807	143968
379	11877	144409
380	11926	144593
381	11956	144544
382	11988	144519
383	12011	144391
384	12042	144351
385	12070	144285
386	12094	144164
387	12114	144002
388	12137	143871
389	12158	143724
390	12185	143640
391	12222	143672
392	12253	143644
